Category,Page total likes,Type,Post Month,Post Hour,Post Weekday,Paid,Lifetime Post Consumers,comment,like,share
2,139441,Photo,12,3,4,0,109,4,79,17
2,139441,Status,12,10,3,0,1361,5,130,29
3,139441,Photo,12,3,3,0,113,0,66,14
2,139441,Photo,12,10,2,1,790,58,1572,147
2,139441,Photo,12,3,2,0,410,19,325,49
2,139441,Status,12,9,1,0,1073,1,152,33
3,139441,Photo,12,3,1,1,265,3,249,27
3,139441,Photo,12,9,7,1,232,0,325,14
2,139441,Status,12,3,7,0,1407,0,161,31
3,139441,Photo,12,10,6,0,183,3,113,26
2,139441,Status,12,10,5,0,4100,0,233,19
2,139441,Photo,12,10,5,0,127,0,88,18
2,139441,Photo,12,10,5,0,115,0,90,14
2,139441,Photo,12,3,5,0,134,5,137,10
2,138414,Photo,12,5,4,1,337,2,577,20
2,138414,Status,12,10,3,0,1209,4,86,18
3,138414,Photo,12,3,3,0,123,2,40,12
1,138414,Photo,12,12,2,1,1103,15,678,20
3,138414,Status,12,3,2,0,86,4,54,17
3,138414,Photo,12,11,1,0,88,0,34,8
2,138414,Photo,12,3,1,0,142,3,66,12
1,138414,Photo,12,10,7,0,15,0,0,0
1,138414,Link,12,10,7,0,104,0,16,2
3,138414,Photo,12,3,7,0,118,0,72,24
2,138414,Status,12,10,6,0,1270,3,99,19
2,138458,Status,12,3,6,0,1462,0,88,18
2,138458,Status,12,11,5,0,2531,10,412,72
3,138458,Photo,12,3,5,0,124,0,100,17
2,138895,Photo,12,3,5,0,559,36,523,63
1,138895,Video,12,11,4,1,1068,18,143,13
2,138895,Photo,12,2,4,0,306,33,107,22
2,138895,Photo,12,10,3,0,171,1,27,11
3,138895,Photo,12,3,3,0,237,2,155,47
3,138895,Photo,12,9,2,0,185,4,98,23
1,138895,Photo,12,3,2,0,260,2,56,17
2,138895,Photo,12,11,1,0,284,6,172,21
3,138895,Photo,12,3,1,0,168,0,96,17
1,138895,Photo,12,10,7,1,424,16,76,8
2,138895,Status,12,9,7,0,5202,11,227,31
1,138895,Photo,12,3,7,0,284,1,44,14
2,138895,Status,12,11,6,0,1912,7,216,39
1,138895,Link,12,3,6,1,366,6,187,18
1,138353,Photo,12,10,5,0,2079,7,26,3
1,138353,Link,12,3,5,1,109,7,29,10
1,138353,Photo,12,11,4,0,316,0,47,11
1,138353,Link,12,3,4,1,158,4,57,10
1,138353,Status,12,11,3,0,3464,4,174,36
1,138353,Link,12,2,3,0,83,6,18,8
1,138353,Photo,12,11,2,0,283,0,77,15
1,138353,Link,12,2,2,0,76,1,12,1
2,138353,Photo,11,9,1,0,65,1,48,9
1,138329,Photo,11,3,1,1,467,24,285,28
1,138329,Photo,11,9,7,0,181,9,202,31
1,138329,Photo,11,3,7,0,182,4,64,19
1,138329,Photo,11,10,6,0,213,4,66,13
1,138329,Video,11,2,6,1,411,2,65,14
1,138329,Photo,11,11,5,0,204,2,164,54
1,138329,Photo,11,3,5,0,131,0,40,13
1,138329,Photo,11,10,4,0,173,3,76,11
1,138329,Photo,11,3,4,1,304,4,139,17
1,138185,Photo,11,11,3,1,335,8,101,14
1,138185,Photo,11,2,3,1,513,8,144,10
1,138185,Photo,11,10,2,1,654,10,179,13
1,138185,Photo,11,3,2,1,335,4,219,22
1,138185,Photo,11,10,1,0,182,2,60,7
1,138185,Photo,11,3,1,0,298,19,77,23
1,138185,Photo,11,11,7,0,156,0,48,7
1,138185,Photo,11,3,7,1,995,20,697,70
1,138185,Photo,11,11,6,0,168,0,53,17
1,137893,Photo,11,3,6,0,288,7,84,28
1,137893,Photo,11,10,5,1,460,7,146,9
1,137893,Video,11,3,5,1,1735,17,449,84
3,137893,Status,11,11,4,0,847,3,226,44
1,137893,Photo,11,2,4,1,418,14,172,47
1,137893,Video,11,11,3,0,458,2,99,13
1,137893,Photo,11,2,3,1,808,20,411,74
1,137893,Photo,11,2,3,0,17,0,0,0
1,137177,Photo,11,10,1,0,374,4,85,8
2,137177,Photo,11,3,1,0,167,0,56,8
1,137177,Photo,11,12,7,0,640,2,29,7
2,137177,Status,11,3,7,0,2235,2,86,13
3,137177,Photo,11,10,6,0,361,18,370,53
1,137177,Photo,11,3,6,0,306,5,190,57
3,137177,Photo,11,10,5,1,243,2,101,19
3,137177,Status,11,2,5,0,108,2,99,16
1,137177,Photo,11,9,4,1,280,10,140,8
1,137177,Link,11,3,4,0,228,2,130,31
3,137177,Photo,11,10,3,0,319,3,270,38
1,137177,Photo,11,3,3,0,189,3,30,6
1,137059,Photo,11,11,2,1,283,2,107,17
1,137059,Photo,11,3,2,0,564,13,331,77
2,137059,Photo,11,9,1,0,220,0,78,13
3,137059,Photo,11,3,1,0,352,9,301,32
3,137059,Photo,11,9,7,0,216,2,111,16
2,137059,Photo,11,4,7,0,213,2,124,22
3,137059,Photo,10,10,6,0,257,5,153,27
1,137059,Photo,10,3,6,0,287,3,51,11
2,137059,Photo,10,11,5,0,218,1,115,26
2,137020,Status,10,3,5,1,1966,7,310,61
1,137020,Photo,10,10,4,0,539,12,328,90
1,137020,Photo,10,9,4,1,37,0,0,0
2,137020,Photo,10,3,4,0,1326,26,1505,95
3,137020,Photo,10,10,3,0,245,2,63,14
1,137020,Photo,10,4,3,0,219,0,13,4
1,137020,Photo,10,11,2,1,315,4,59,9
1,137020,Photo,10,4,2,0,2628,42,955,139
3,137020,Photo,10,11,1,0,330,9,181,32
2,136736,Status,10,4,1,0,1032,17,193,28
3,136736,Photo,10,9,7,0,237,7,125,16
2,136736,Status,10,3,7,0,2570,4,217,50
1,136736,Photo,10,10,6,0,324,2,28,4
1,136736,Photo,10,8,6,0,37,0,,
2,136736,Photo,10,4,6,0,238,4,117,18
2,136642,Photo,10,3,1,1,314,2,79,16
1,136642,Photo,10,13,7,0,356,0,15,2
1,136642,Photo,10,12,7,1,319,0,4,2
1,136642,Photo,10,12,7,0,1490,1,431,26
1,136642,Photo,10,11,7,0,298,0,7,0
1,136642,Photo,10,10,7,0,392,0,7,2
1,136393,Photo,10,10,7,0,257,0,6,2
1,136393,Photo,10,9,7,0,271,0,2,
2,136393,Status,10,9,7,0,2654,6,186,40
1,136393,Photo,10,8,7,0,254,1,1,2
1,136393,Photo,10,7,7,0,223,1,3,2
1,136393,Photo,10,6,7,0,246,0,7,
1,136393,Photo,10,5,7,0,228,0,7,2
3,136393,Photo,10,3,7,0,345,3,198,41
1,136393,Photo,10,13,6,0,220,0,9,1
1,136393,Photo,10,13,6,0,192,0,4,1
1,136393,Photo,10,12,6,0,205,0,3,0
1,136393,Photo,10,11,6,0,201,0,8,2
1,136393,Photo,10,9,6,0,863,0,7,3
1,136393,Photo,10,9,6,0,194,1,7,2
1,136393,Photo,10,8,6,0,206,0,11,1
1,136393,Photo,10,6,6,0,192,2,28,4
1,136393,Photo,10,2,6,0,388,0,56,12
1,136393,Link,10,10,5,0,182,0,32,16
1,136013,Photo,10,8,5,0,189,4,32,3
2,136013,Status,10,3,5,0,1426,0,129,25
1,136013,Photo,10,10,4,1,374,4,77,19
1,136013,Link,10,3,4,0,975,15,143,44
3,136013,Status,10,10,3,0,2438,2,227,36
2,136013,Status,10,2,3,1,5934,60,859,90
3,136013,Photo,10,10,2,1,440,10,377,60
1,136013,Photo,10,3,2,1,1450,3,41,9
1,136013,Photo,10,10,1,1,483,6,76,14
3,136013,Photo,10,3,1,0,282,0,189,15
3,135713,Photo,10,10,7,0,243,0,80,14
2,135713,Status,10,4,7,0,1877,3,148,28
1,135713,Link,10,11,6,1,90,0,24,11
1,135713,Photo,10,4,6,0,1921,24,302,41
2,135713,Photo,10,11,5,0,370,2,166,32
2,135713,Photo,10,4,5,1,602,47,358,49
1,135713,Photo,10,10,4,0,727,7,161,25
2,135713,Photo,10,1,4,0,545,13,319,55
2,135700,Photo,9,7,3,0,295,0,54,16
2,135700,Photo,9,11,2,0,408,16,117,30
3,135700,Photo,9,2,2,0,309,1,115,21
2,135700,Photo,9,10,1,0,509,30,187,35
2,135617,Photo,9,3,1,1,288,1,84,13
3,135617,Photo,9,9,7,0,452,6,363,40
2,135617,Photo,9,3,7,0,447,6,244,32
3,135617,Photo,9,10,6,0,614,22,290,98
2,135617,Status,9,4,6,0,1724,4,243,41
1,135428,Photo,9,10,5,0,251,0,18,
2,135428,Photo,9,3,5,1,360,0,113,19
1,135428,Photo,9,10,4,1,450,2,77,5
3,135428,Photo,9,2,4,1,498,8,485,64
1,135428,Photo,9,10,3,0,2420,144,1622,208
2,135428,Photo,9,2,3,1,390,6,99,16
3,135195,Photo,9,9,2,0,430,3,188,26
1,135195,Photo,9,2,2,0,334,2,30,6
2,135195,Status,9,10,1,0,4754,38,163,27
1,135195,Photo,9,4,1,0,424,6,179,40
2,135195,Photo,9,3,7,0,446,5,204,34
2,135195,Status,9,10,6,1,2584,2,165,22
3,135195,Photo,9,3,6,1,984,29,1047,98
1,135195,Photo,9,11,5,0,473,2,234,40
2,135195,Photo,9,2,5,0,482,7,250,42
2,135195,Photo,9,10,4,0,430,4,154,36
2,134879,Status,9,4,4,1,1397,20,150,29
1,134879,Photo,9,10,3,0,549,4,102,8
3,134879,Photo,9,2,3,1,435,1,226,44
1,134879,Video,9,10,2,0,1956,6,345,121
2,134879,Photo,9,3,2,0,348,11,68,11
1,134879,Photo,9,10,1,0,335,0,62,10
2,134879,Photo,9,6,1,0,405,5,223,35
2,134879,Photo,9,10,7,0,280,0,61,6
3,134879,Photo,9,4,7,1,298,1,104,12
2,133679,Photo,9,10,2,0,422,3,146,15
3,133679,Photo,9,3,2,1,365,2,102,15
3,133679,Photo,8,10,1,0,695,9,766,43
2,133679,Photo,8,4,1,0,324,0,63,7
2,133594,Photo,8,10,7,1,437,3,113,17
1,133594,Photo,8,3,7,0,1333,6,442,42
2,133594,Photo,8,10,6,0,530,9,278,43
1,133594,Photo,8,8,6,0,359,2,64,7
2,133594,Photo,8,13,5,0,331,1,52,7
1,133451,Photo,8,9,4,1,333,0,30,2
3,132817,Photo,8,10,4,0,1016,33,1155,102
2,132817,Photo,8,3,4,1,408,2,139,25
1,132817,Photo,8,9,3,0,409,0,40,5
2,132817,Status,8,2,3,1,1130,2,53,15
3,132817,Photo,8,10,2,0,759,4,220,19
3,132817,Photo,8,3,2,0,323,2,114,16
1,132201,Photo,8,12,1,1,344,0,39,3
1,132201,Photo,8,3,1,0,1577,4,859,68
2,132201,Photo,8,10,7,0,434,5,137,20
3,132201,Photo,8,3,7,0,315,1,54,11
2,132201,Photo,8,10,6,1,322,2,74,22
3,132201,Photo,8,3,6,1,906,6,98,3
3,132201,Photo,8,10,5,0,398,2,264,21
2,132201,Photo,8,1,5,0,321,3,36,11
3,132201,Photo,8,11,4,1,268,1,11,3
3,132201,Photo,8,3,4,1,461,4,435,31
1,131956,Photo,8,10,3,0,991,2,114,10
2,131956,Photo,8,4,3,0,351,2,17,9
2,131956,Status,8,12,2,0,286,41,15,1
1,131956,Photo,8,7,2,0,1354,3,87,10
3,131956,Photo,8,12,1,0,632,16,227,28
2,131956,Photo,8,4,1,0,330,2,86,8
3,131956,Photo,8,10,7,0,431,6,179,27
2,131808,Status,8,4,7,0,953,1,74,11
2,131808,Status,8,10,6,1,3244,18,332,54
1,131808,Photo,8,6,6,0,477,2,80,21
2,131808,Status,7,14,5,0,2781,9,95,17
3,131728,Photo,7,8,5,1,342,3,188,26
1,131728,Photo,7,10,4,1,575,6,109,11
2,131728,Photo,7,3,4,0,591,64,367,25
2,131630,Photo,7,13,3,0,374,9,102,19
3,131630,Photo,7,23,2,0,351,2,113,20
3,131630,Photo,7,13,2,0,297,0,94,20
2,131630,Status,7,6,2,1,126,6,14,1
1,131630,Photo,7,11,1,0,289,1,43,10
2,131630,Photo,7,5,1,0,319,1,98,21
2,131300,Status,7,10,7,0,119,3,13,1
3,131300,Photo,7,4,7,0,783,12,237,45
2,131300,Photo,7,10,6,0,354,4,112,23
1,131300,Photo,7,2,6,0,395,2,101,25
2,130791,Photo,7,11,5,1,406,10,145,31
3,130791,Photo,7,3,5,0,592,6,535,83
1,130791,Photo,7,11,4,0,460,4,118,22
2,130791,Status,7,6,4,0,2448,9,484,79
1,130791,Video,7,11,3,1,3822,18,315,76
2,130791,Photo,7,5,3,1,4010,372,5172,790
1,130791,Photo,7,13,2,0,930,4,154,30
2,130791,Photo,7,8,2,0,503,0,73,15
2,129600,Photo,7,12,1,0,482,0,96,19
3,129600,Photo,7,6,1,0,512,1,98,19
2,129600,Photo,7,11,7,1,444,1,53,14
1,129600,Photo,7,6,7,1,570,4,71,10
1,129600,Photo,7,11,6,0,740,6,194,34
3,129600,Photo,7,5,6,0,646,6,226,42
2,129600,Status,7,12,5,1,2327,11,238,51
3,129600,Photo,7,3,5,0,963,10,755,58
2,129600,Photo,7,12,4,1,574,30,47,8
1,129600,Photo,7,6,4,1,770,2,126,32
1,129600,Photo,7,13,3,1,1330,4,104,10
2,129600,Photo,7,1,3,0,597,10,167,26
3,129600,Photo,7,13,2,0,648,9,152,41
2,129600,Photo,7,7,2,1,638,0,128,15
1,129600,Photo,7,13,1,0,827,13,234,43
2,128032,Photo,7,3,1,0,478,2,61,16
2,128032,Photo,7,11,7,1,513,0,66,9
3,128032,Photo,7,3,7,0,890,7,529,60
3,128032,Photo,7,13,6,1,503,3,42,10
1,128032,Photo,7,3,6,0,700,2,75,24
2,128032,Status,7,10,5,0,1441,13,61,13
1,128032,Photo,7,3,5,0,861,26,162,7
1,128032,Photo,7,9,4,1,493,2,47,4
2,128032,Photo,7,5,4,1,1412,6,696,28
1,128032,Photo,7,10,3,1,1054,7,215,47
1,127082,Photo,7,3,3,1,2495,22,534,31
3,126424,Photo,7,12,4,0,933,1,143,27
2,126424,Photo,7,3,4,0,884,18,46,7
2,126424,Status,7,13,3,0,3682,36,98,14
3,126424,Photo,7,4,3,1,716,0,25,5
1,126424,Video,6,13,2,0,1643,23,204,44
1,126345,Photo,6,9,2,1,947,11,202,5
1,126345,Photo,6,3,2,0,2457,7,148,39
2,126345,Photo,6,12,1,0,720,1,40,8
2,126345,Photo,6,4,1,0,872,1,71,17
2,126345,Status,6,11,7,0,2193,0,104,13
1,126141,Photo,6,4,7,1,1381,1,34,4
1,126141,Photo,6,12,6,0,1537,11,129,12
2,126141,Status,6,4,6,0,843,4,72,18
1,126141,Photo,6,11,5,1,383,0,15,3
1,126141,Photo,6,22,4,1,860,14,102,9
1,126141,Photo,6,12,4,0,1038,103,469,33
1,125612,Photo,6,11,4,0,145,5,57,5
1,125612,Photo,6,7,4,0,591,0,23,2
2,125612,Photo,6,3,4,0,681,5,141,26
1,125612,Photo,6,11,3,0,560,0,19,5
2,125612,Photo,6,3,3,0,569,1,71,23
1,125612,Photo,6,13,2,0,656,0,72,21
1,125612,Photo,6,2,2,0,1138,5,54,7
3,125612,Photo,6,14,1,0,671,5,93,19
3,125612,Photo,6,3,1,0,523,0,62,10
2,125612,Photo,6,11,7,0,568,0,78,16
1,124940,Photo,6,4,7,0,834,0,14,1
2,124940,Photo,6,9,6,0,779,11,231,43
3,124940,Photo,6,2,6,1,503,1,72,16
1,124940,Photo,6,13,5,1,1229,9,197,28
3,124940,Photo,6,3,5,1,705,4,330,29
1,124940,Photo,6,12,4,0,715,0,148,7
3,124940,Photo,6,2,4,0,725,2,208,28
2,124940,Photo,6,13,3,0,676,12,148,28
3,124940,Photo,6,3,3,1,683,4,154,26
3,124940,Photo,6,13,2,0,934,3,142,18
3,124940,Photo,6,3,2,0,730,8,107,20
1,124940,Photo,6,13,1,0,658,0,22,3
3,124940,Photo,6,3,1,0,618,2,84,13
3,124940,Photo,6,10,7,0,548,2,59,12
3,124940,Photo,6,3,7,1,616,3,65,14
1,124940,Photo,6,12,6,1,1622,0,24,4
3,124940,Photo,6,4,6,0,1426,9,186,23
3,123047,Photo,6,12,5,0,724,0,58,17
2,123047,Photo,6,3,5,0,656,2,74,14
3,123047,Photo,6,13,4,0,672,2,180,44
2,123047,Photo,6,5,4,1,1065,18,168,49
1,123047,Photo,6,11,3,0,733,0,36,5
3,123047,Photo,6,13,2,0,546,2,51,6
3,123047,Photo,6,5,2,1,522,2,67,14
3,123047,Photo,6,10,1,0,1334,20,1372,47
3,123047,Photo,6,3,1,1,488,2,57,6
3,121540,Photo,6,3,1,0,712,2,33,10
2,121540,Photo,5,14,7,0,658,1,79,17
3,120050,Photo,5,9,5,1,529,3,97,22
3,120050,Photo,5,12,4,0,1183,16,617,58
3,120050,Photo,5,4,4,1,607,7,139,34
3,120050,Photo,5,12,3,0,918,20,199,32
3,119198,Photo,5,5,3,0,626,1,107,26
3,119198,Photo,5,12,2,0,528,0,50,10
3,119198,Photo,5,1,2,0,560,0,64,20
2,119198,Status,5,2,1,0,1599,2,55,10
2,119198,Photo,5,2,7,0,594,1,142,37
3,119198,Photo,5,14,6,0,479,2,72,9
3,119198,Photo,5,6,6,0,485,4,79,16
3,119198,Photo,5,10,5,1,706,25,244,44
1,117764,Photo,5,10,4,0,875,25,307,58
3,117764,Photo,5,4,4,0,569,6,212,36
3,117764,Photo,5,11,3,0,415,2,95,17
2,117764,Photo,5,11,2,0,625,5,194,33
3,117764,Photo,5,13,1,1,432,6,101,29
1,117764,Link,5,2,1,0,322,3,46,14
3,117764,Photo,5,13,7,1,509,3,156,20
3,117764,Photo,5,2,7,0,1702,37,821,90
3,117764,Photo,5,13,6,0,356,1,58,13
3,117764,Photo,5,8,6,1,484,12,155,23
3,117764,Photo,5,13,5,0,1637,45,1639,122
2,116435,Photo,5,9,5,0,587,3,155,32
3,116435,Photo,5,13,4,1,555,4,166,33
1,116435,Status,5,3,4,1,1570,6,210,39
3,116435,Photo,5,7,3,0,676,4,400,25
2,116435,Photo,5,14,2,0,495,2,98,18
1,116435,Photo,5,8,2,0,561,12,138,38
3,116435,Photo,5,13,1,0,481,3,148,16
2,116091,Photo,5,3,1,0,544,2,267,40
2,116091,Photo,5,14,7,0,492,1,144,29
3,116091,Photo,5,2,7,0,631,25,256,54
1,116091,Photo,5,9,6,0,539,3,72,24
3,116091,Photo,5,3,6,0,406,0,87,18
2,116091,Status,5,7,5,0,861,1,129,36
3,115893,Photo,4,15,4,1,642,1,179,30
1,115893,Photo,4,13,3,0,1485,9,194,33
3,115368,Photo,4,8,3,0,555,1,124,32
3,115368,Photo,4,13,2,0,742,4,304,47
3,115368,Photo,4,2,2,1,670,12,138,39
1,115368,Photo,4,2,1,0,547,4,41,9
2,113028,Photo,4,3,7,1,620,2,163,35
1,113028,Photo,4,14,6,0,1242,45,407,76
2,113028,Status,4,3,6,1,2567,17,447,123
1,113028,Link,4,7,5,1,325,7,38,11
1,113028,Photo,4,5,5,0,916,2,93,26
1,113028,Photo,4,12,4,1,639,0,59,16
3,111620,Photo,4,7,4,1,623,0,286,30
3,111620,Photo,4,7,3,0,526,0,66,13
3,111620,Photo,4,13,2,1,713,8,236,51
1,111620,Photo,4,6,2,1,1105,2,152,11
3,111620,Photo,4,14,1,1,2254,51,1998,128
1,111620,Photo,4,14,7,0,1408,8,186,18
3,109670,Photo,4,20,6,0,838,11,235,34
1,109670,Photo,4,13,6,0,684,1,64,22
3,109670,Photo,4,3,6,0,614,2,92,28
1,109670,Photo,4,13,5,0,642,3,53,13
3,109670,Photo,4,7,5,1,575,5,140,38
1,109670,Photo,4,3,4,0,597,0,48,8
1,109670,Photo,4,13,3,1,633,0,112,14
1,109670,Photo,4,8,3,0,497,0,35,5
1,109670,Photo,4,13,2,0,565,4,37,3
3,109670,Photo,4,2,2,1,495,0,48,14
2,109670,Photo,4,13,1,1,1367,6,766,109
1,109670,Photo,4,2,1,0,642,1,96,18
3,109670,Photo,4,14,7,0,483,1,57,13
3,107907,Photo,4,13,7,0,542,3,114,21
1,107907,Photo,4,9,6,0,482,1,51,6
3,107907,Photo,4,3,6,1,458,1,87,27
1,107907,Photo,4,9,5,0,1732,5,81,11
3,107907,Photo,4,3,5,0,627,1,71,18
3,107907,Photo,4,13,4,0,631,9,164,52
3,107907,Photo,4,5,4,1,481,5,91,26
1,107907,Photo,4,13,3,1,1096,9,329,38
1,107907,Photo,4,4,3,1,652,4,128,17
1,107907,Link,4,6,2,0,1106,1,379,40
3,107907,Photo,4,3,1,0,444,1,52,24
3,107907,Photo,4,10,7,0,453,1,63,26
3,107907,Photo,4,3,7,0,455,2,97,25
3,106928,Photo,4,9,6,1,390,2,56,9
1,106928,Link,4,4,6,0,322,1,36,7
2,106928,Photo,4,13,5,0,566,4,138,26
2,106928,Photo,4,3,5,0,586,7,142,24
3,106928,Photo,4,13,4,0,433,1,75,15
1,106928,Photo,4,3,4,1,570,1,89,14
1,104070,Photo,3,14,5,1,474,2,63,16
1,104070,Photo,3,14,4,1,659,3,176,29
1,104070,Photo,3,7,4,0,1480,7,227,15
1,104070,Status,3,15,3,0,937,3,25,6
1,104070,Photo,3,10,3,0,25,0,0,0
1,102112,Photo,3,10,3,0,455,1,27,11
1,102112,Photo,3,4,3,0,505,0,39,14
1,102112,Photo,3,12,2,0,513,0,61,13
1,102112,Photo,3,3,2,0,446,0,32,7
1,102112,Photo,3,19,1,0,142,0,2,0
1,102112,Photo,3,18,1,0,507,8,109,3
1,102112,Photo,3,18,1,0,726,0,32,6
3,102112,Link,3,3,1,0,245,2,68,15
1,100732,Photo,3,18,7,0,130,0,6,1
1,100732,Photo,3,17,7,0,1339,4,213,13
1,100732,Photo,3,15,7,0,398,0,2,0
1,100732,Photo,3,15,7,0,144,0,3,0
1,100732,Link,3,14,7,0,23,0,6,0
1,100732,Photo,3,12,7,0,203,0,4,0
1,100732,Photo,3,17,6,0,184,0,4,1
1,100732,Photo,3,17,6,0,1342,12,211,14
1,100732,Photo,3,15,6,0,450,1,15,1
1,100732,Photo,3,15,6,0,554,11,95,4
1,100732,Photo,3,13,6,1,1037,16,127,0
1,100732,Photo,3,10,6,0,1268,0,136,13
2,98195,Link,3,6,6,0,71,2,32,15
1,98195,Photo,3,3,6,0,528,1,76,9
1,98195,Photo,3,10,5,0,526,1,28,7
1,98195,Photo,3,4,5,1,9,0,0,0
3,98195,Photo,3,13,4,0,1156,10,664,97
3,96749,Photo,3,9,2,0,556,1,62,10
2,96749,Photo,3,5,2,0,582,0,48,20
1,96749,Photo,3,13,1,1,678,1,55,7
1,96749,Photo,3,2,1,1,11328,10,197,21
1,96749,Photo,3,10,7,1,2300,6,88,24
1,96749,Photo,3,5,7,1,1819,2,59,6
1,93684,Photo,2,13,6,1,2127,6,234,26
1,93577,Photo,2,6,6,0,1800,3,148,21
1,93470,Photo,2,12,5,0,1313,0,96,29
1,93363,Photo,2,6,5,0,1218,4,49,15
3,93256,Photo,2,12,4,0,1087,3,98,27
3,93149,Photo,2,3,4,0,1288,14,198,70
3,93042,Photo,2,13,3,0,1029,5,159,53
1,92935,Photo,2,9,3,1,940,1,22,6
1,92828,Photo,2,6,3,0,2190,6,154,18
3,92721,Photo,2,13,2,0,1189,5,128,32
2,92614,Photo,2,3,2,1,994,2,129,32
3,92507,Photo,2,13,1,0,3586,146,1546,181
1,92400,Photo,2,4,1,0,1264,5,79,11
3,92293,Photo,2,13,7,1,1346,19,214,78
3,92186,Photo,2,2,7,1,1633,8,134,34
1,92079,Photo,2,13,6,0,2319,9,268,36
3,91972,Photo,2,3,6,0,1115,4,128,38
2,91865,Photo,2,13,5,1,923,3,47,21
2,91758,Photo,2,3,5,1,1071,1,200,37
1,91651,Photo,2,12,4,0,1401,5,264,36
3,91544,Photo,2,3,4,0,1175,10,193,61
1,91437,Link,2,13,3,0,381,4,114,13
3,91330,Photo,2,3,3,0,1002,7,160,57
1,91223,Photo,2,13,2,0,837,0,46,15
3,91116,Photo,2,4,2,1,944,4,136,42
1,91009,Photo,2,12,1,0,1479,0,73,13
3,86909,Photo,1,16,6,1,1143,0,65,19
1,86909,Photo,1,10,6,1,2288,7,579,47
1,86909,Link,1,4,6,0,496,1,101,5
3,86909,Photo,1,13,5,0,1099,1,74,31
3,86909,Photo,1,4,5,0,1078,7,84,36
2,86909,Photo,1,11,4,0,1635,56,360,99
1,86491,Link,1,4,4,1,63,0,5,2
3,86491,Photo,1,10,3,0,2833,3,187,36
2,86491,Photo,1,3,3,0,1058,2,69,26
3,86491,Photo,1,7,2,0,1023,2,82,24
1,86491,Link,1,2,2,0,59,0,12,2
3,85979,Photo,1,12,1,0,993,2,56,25
3,85979,Photo,1,2,1,0,937,1,44,21
3,85979,Photo,1,10,7,0,1271,21,277,80
3,85979,Photo,1,2,7,0,938,1,74,28
3,85979,Photo,1,11,6,0,911,1,79,30
3,85979,Photo,1,3,6,1,901,1,105,46
1,85979,Link,1,11,5,0,655,0,128,9
3,85093,Photo,1,2,1,0,1111,17,185,55
3,85093,Photo,1,10,7,0,756,10,125,41
3,85093,Photo,1,2,7,0,708,5,53,26
2,81370,Photo,1,8,5,0,508,0,53,22
1,81370,Photo,1,2,5,0,572,4,93,18
3,81370,Photo,1,11,4,0,574,7,91,38
2,81370,Photo,1,4,4,,524,0,91,28
